AMDBId;run_material;raw_path;structure_content_id;run_content_id;status
anyt.am-1-136;NiTe2O5;7/Runs/ht.task.tetralith--default.NiTe2O5_SCF.cleanup.0.unclaimed.3.finished;9478d2fa9a4cad38a05a27998f727dfe7fe31669cb632b662497234f86b28050;428638c992f23f66cf5722b7e043fa0f87d0fea8d7d78c537de20dcf9d363a1c;auto
anyt.am-1-137;Sr2ScOsO6;8/Runs/ht.task.tetralith--default.Sr2ScOsO6_SCF.cleanup.0.unclaimed.3.finished;972214f576d5884ef1159d9be32f0a1b5930ae9c31b593b9ae270e63d4261473;a3e2ac0fadf05d6d57deaf9b74845576c0e5612d65f1a1ca38011318d8bf873c;auto
anyt.am-1-138;NdVO3;7/Runs/ht.task.tetralith--default.NdVO3_SCF.cleanup.0.unclaimed.3.finished;e9f21db07a429760470740db99db841897a38eaf49a90d093685b723b1008f84;57835ebc4cb866017b7e6a25264d0a988dbea26a82156db290c92e712b33201e;auto
anyt.am-1-139;Ba2NdRuO6;1/Runs/ht.task.tetralith--default.Ba2NdRuO6_SCF.cleanup.0.unclaimed.3.finished;9581dae872af91908b930b0697ea7fe71c2e72660bb875eaf8ba76b7c116ab4f;daef97fa92055392b385e03c3bef207b034bbef0b9182b5b21c64a65b289558d;auto
anyt.am-1-14;NiCO3;7/Runs/ht.task.tetralith--default.NiCO3_SCF.cleanup.0.unclaimed.3.finished;1839a24701b29c91bb6d37b0574774495bdcb3cc82632bb79bc82364a645e9cd;83c13331879184f5d8ca35c59f8aee38e66ae3d459fb0071d8b664a3b70a29f9;auto
anyt.am-1-140;CsMn2F6-2;3/Runs/ht.task.tetralith--default.CsMn2F6-2_SCF.cleanup.0.unclaimed.3.finished;fbb69f64ca0f645202e3d73b81310a8355846decfdb18ad437c992a295805917;e620b989490dd7ad6ccdd10a5889d0b029002aea1192bb9641f8bef8eaa1ad1c;auto
anyt.am-1-141;HoCrWO6;5/Runs/ht.task.tetralith--default.HoCrWO6_SCF.cleanup.0.unclaimed.3.finished;14c31f70e235716760fdaa12bb32e347c111239add279c0a36e9f40460a29c98;0c0718ee78bd4ca81ec3ceb0cdc74c2c66011c607346c047fdc3e4d950416a3c;auto
anyt.am-1-143;DyCrWO6;3/Runs/ht.task.tetralith--default.DyCrWO6_SCF.cleanup.0.unclaimed.3.finished;635c0ca518e4a6fbb7af5e157cf97838907717c819308d2fe40f6a6baed3a4f1;27b414a81c65011b53a30099be5e874a0682cfaf23130cf63adac56ffc5beef6;auto
anyt.am-1-144;Sr3LiRuO6;9/Runs/ht.task.tetralith--default.Sr3LiRuO6_SCF.cleanup.0.unclaimed.3.finished;bb15db464fb4a4a219937505f252b24374a90524783d030d6c96a35ba1affc38;f3677fd8a32e19e157d725305e00d67ab174d579ac50c986976ead0278afed89;auto
anyt.am-1-145;K2ReI6;5/Runs/ht.task.tetralith--default.K2ReI6_SCF.cleanup.0.unclaimed.3.finished;336ce988ee69110673ca755297e58c90218f3f5e2cc9252ff1acf57a9b596d28;7bde93f5a123eaa87f825253af06d80e6904d745dbddac4e0a5bb70ccfacde31;auto
anyt.am-1-147;BaCuF4;1/Runs/ht.task.tetralith--default.BaCuF4_SCF.cleanup.0.unclaimed.3.finished;95f08101ab1023bfc5f1b593fce795582f2b3ffef085106560d62dcf3685f3d8;304ccf7095735d949dfe781c9702b8126537de9fb5d2c1d57a17b31baa092e5c;auto
anyt.am-1-148;CuB2O4;3/Runs/ht.task.tetralith--default.CuB2O4_SCF.cleanup.0.unclaimed.3.finished;e8c284b2307b8a35d61cfb081cd1999214cfc1d0a61923cd65ace3dfc1e04469;79f9641e041b247f7ba5e3cefcebe7439c82395a2c94c752a98139610d62a5bd;auto
anyt.am-1-149;BaCoSiO4;1/Runs/ht.task.tetralith--default.BaCoSiO4_SCF.cleanup.0.unclaimed.3.finished;6609f2f7745c143a5116cab6748490862d114c55b05926acaa13afdec006076e;36158a3e0c931f6947d1c98465048bbf960522c5d23dc6a2fb48f0d7a6c4da3d;auto
anyt.am-1-15;FeSO4F;5/Runs/ht.task.tetralith--default.FeSO4F_SCF.cleanup.0.unclaimed.3.finished;0be98e9ec55508106e4dea452a93dc6657287dacd90bcc07db3c3b0214dd8c97;3ae4ba135fd4c2eeb9cfd95ae88ebfd41d5283aaeddf82b3cae3016deea1150f;auto
anyt.am-1-150;RbMnF4;8/Runs/ht.task.tetralith--default.RbMnF4_SCF.cleanup.0.unclaimed.3.finished;6d947020caf4c2116b3ed063f47ba5fd6f9d198a1edbca0619ee323c29029cb3;3154074400c3f33449aa08f3bcd3e225035f0beed51cd624c614b00d168e8685;auto
anyt.am-1-151;SrMn2V2O8;9/Runs/ht.task.tetralith--default.SrMn2V2O8_SCF.cleanup.0.unclaimed.3.finished;74f04543f026c96cb3265682aa12a7cc1a1ae11d451bacd4e734f883a62329e9;745ba95d6dff6f576b3a372ac9602688b4283a505d014256f1f9a1e5c724f93e;auto
anyt.am-1-154;Sr2CoOsO6;8/Runs/ht.task.tetralith--default.Sr2CoOsO6_SCF.cleanup.0.unclaimed.3.finished;6e8622a20ae3dfd9d0e599f9a9f3856f63819bcf79945b652220465b99b46356;966d8ab87226cd6da576a0630b4d2fd58ef0d3872223c12df89c9662748ea8ca;auto
anyt.am-1-155;CsMnBr3;3/Runs/ht.task.tetralith--default.CsMnBr3_SCF.cleanup.0.unclaimed.3.finished;e60e581cb7741ccfd0e5faffb72656f4d4ff931d1596536f3d494e4a872ebf50;93b7529e6daa81ab86eaeca3e72df54128d090cee98ad10df3752ea4f30493e9;auto
